"Incident Date","State","City Or County","Address","# Killed","# Injured","Operations"
2018-04-15,"Louisiana","Shreveport","6956 Jewella Ave",0,6,"View Incident
View Source"
2018-04-09,"California","Vallejo","201 Maine St",0,4,"View Incident
View Source"
2018-04-08,"North Carolina","Hickory","247 1st Ave NW",1,3,"View Incident
View Source"
2018-04-08,"Florida","Miami","1300 block of NW 63rd Terrace",2,2,"View Incident
View Source"
2018-04-06,"Florida","Jacksonville","6100 block of Transylvania Ave",0,4,"View Incident
View Source"
2018-04-06,"Virginia","Virginia Beach","5800 block of Pickering St",1,3,"View Incident
View Source"
2018-04-04,"Louisiana","New Orleans","3300 Garden Oaks Drive",2,2,"View Incident
View Source"
2018-04-02,"Texas","Houston","8500 block of Redcliff Rd",1,3,"View Incident
View Source"
2018-04-01,"Alabama","Mobile","3556 Halls Mill Rd",1,4,"View Incident
View Source"
2018-04-01,"Michigan","Saginaw","600 block of Yale St",0,5,"View Incident
View Source"
2018-03-31,"New Jersey","Asbury Park","Atlantic Ave and Monmouth Ave",0,5,"View Incident
View Source"
2018-03-29,"Texas","Plano","7401 Alma Dr",1,3,"View Incident
View Source"
2018-03-29,"New Jersey","Camden","Kaighn Ave and Haddon Ave",0,4,"View Incident
View Source"
2018-03-24,"Utah","Salt Lake City (West Valley City)","3180 South 5600 West",0,4,"View Incident
View Source"
2018-03-21,"California","San Francisco","949 Geneva Ave",1,5,"View Incident
View Source"
2018-03-17,"Kentucky","Louisville","2928 W Kentucky St",0,7,"View Incident
View Source"
2018-03-17,"Illinois","Harvey","16700 S Halsted St",0,4,"View Incident
View Source"
2018-03-13,"Florida","Macclenny","South Blvd",0,4,"View Incident
View Source"
2018-03-12,"California","Modesto","2000 block of Robertson Rd",0,4,"View Incident
View Source"
2018-03-11,"Illinois","Champaign","700 block of N Hickory St",1,3,"View Incident
View Source"
2018-03-11,"Indiana","South Bend","800 block of E Dayton St",0,6,"View Incident
View Source"
2018-03-11,"Michigan","Saginaw","Cumberland Ave and Hess St",0,5,"View Incident
View Source"
2018-03-09,"North Carolina","Wadesboro","1300 E Caswell St",3,1,"View Incident
View Source"
2018-03-07,"Alabama","Hurtsboro","531 Main Street",2,2,"View Incident
View Source"
2018-03-04,"Illinois","Rockford","400 Howard Ave",1,4,"View Incident
View Source"
2018-03-03,"Florida","Miami","1300 Block of NW 62nd Ln",0,4,"View Incident
View Source"
2018-03-03,"New York","Brooklyn","Kings Highway and Utica Avenue",1,3,"View Incident
View Source"
2018-02-27,"Connecticut","Bridgeport","1306 Stratford Ave",0,4,"View Incident
View Source"
2018-02-26,"Michigan","Detroit","22000 block of Fenkell Ave",5,0,"View Incident
View Source"
2018-02-23,"Florida","Palm Beach Gardens (Riviera Beach)","W 23rd St",1,3,"View Incident
View Source"
2018-02-18,"Texas","San Antonio","2893 Cinema Ridge",0,5,"View Incident
View Source"
2018-02-17,"Kansas","Kansas City","1615 Minnesota",1,7,"View Incident
View Source"
2018-02-17,"Tennessee","Memphis","3188 N Watkins Ave",0,5,"View Incident
View Source"
2018-02-16,"Oklahoma","Oklahoma City","1700 block of SW 15",1,3,"View Incident
View Source"
2018-02-14,"Florida","Pompano Beach (Parkland)","5901 Pine Island Rd",17,17,"View Incident
View Source"
2018-02-13,"Louisiana","New Orleans","5400 block of Andry Street",3,3,"View Incident
View Source"
2018-02-11,"Michigan","Detroit","19432 Lamont Street",4,3,"View Incident
View Source"
2018-02-10,"Kentucky","Paintsville","413 Mill Street",5,0,"View Incident
View Source"
2018-02-07,"Florida","Lake Worth (Lantana)","I-95 and Lantana Ave",3,3,"View Incident
View Source"
2018-02-05,"Colorado","Colorado Springs","4225 Galley Rd",2,4,"View Incident
View Source"
2018-02-03,"Ohio","Cleveland (Garfield Heights)","11321 Broadway Ave",1,5,"View Incident
View Source"
2018-01-31,"Missouri","Saint Louis","Goodfellow Blvd and Dr Martin Luther King Dr",0,4,"View Incident
View Source"
2018-01-28,"Pennsylvania","Melcroft","1301 Indian Creek Valley Rd",5,0,"View Incident
View Source"
2018-01-28,"Pennsylvania","Reading","123 S 3rd St",4,0,"View Incident
View Source"
